Reason 1,Reason 2,Reason 3,Reason 4,Date,Month Value,Day of the Week,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
False,False,False,True,2015-12-11,12,4,260,50,36,261.306,23,0,4,0,3
False,False,False,True,2015-12-15,12,1,225,26,28,261.306,24,0,1,2,2
False,False,False,True,2015-12-16,12,2,361,52,28,261.306,27,0,1,4,8
False,False,False,True,2015-12-11,12,4,118,10,37,261.306,28,0,0,0,2
False,False,True,False,2015-12-18,12,4,246,25,41,261.306,23,0,0,0,8
False,False,False,True,2015-12-18,12,4,225,26,28,261.306,24,0,1,2,2
False,False,False,True,2016-01-06,1,2,225,26,28,308.593,24,0,1,2,1
False,False,True,False,2016-01-04,1,0,118,10,37,308.593,28,0,0,0,1
False,False,False,True,2016-01-05,1,1,118,10,37,308.593,28,0,0,0,1
False,False,True,False,2016-01-05,1,1,155,12,34,308.593,25,0,2,0,8
False,False,False,True,2016-01-06,1,2,225,26,28,308.593,24,0,1,2,2
False,False,False,True,2016-01-07,1,3,184,42,27,308.593,21,0,0,0,2
False,False,False,True,2016-01-07,1,3,225,26,28,308.593,24,0,1,2,2
False,False,False,True,2016-01-08,1,4,225,26,28,308.593,24,0,1,2,1
False,False,False,True,2016-01-11,1,0,118,10,37,308.593,28,0,0,0,2
False,False,False,True,2016-01-12,1,1,225,26,28,308.593,24,0,1,2,2
False,False,False,True,2016-01-12,1,1,118,10,37,308.593,28,0,0,0,2
False,False,False,True,2016-01-13,1,2,118,10,37,308.593,28,0,0,0,2
False,False,False,True,2016-01-14,1,3,118,10,37,308.593,28,0,0,0,2
False,False,False,True,2016-01-15,1,4,118,10,37,308.593,28,0,0,0,2
False,False,False,True,2016-01-11,1,0,118,10,37,308.593,28,0,0,0,2
False,False,False,True,2016-01-12,1,1,118,10,37,308.593,28,0,0,0,2
False,False,True,False,2016-01-12,1,1,179,26,30,308.593,19,1,0,0,8
False,False,True,False,2016-01-12,1,1,289,36,33,308.593,30,0,2,1,8
False,False,False,True,2016-01-13,1,2,118,10,37,308.593,28,0,0,0,2
False,False,False,True,2016-01-21,1,3,184,42,27,308.593,21,0,0,0,2
False,False,False,True,2016-01-28,1,3,118,10,37,308.593,28,0,0,0,2
False,False,False,True,2016-01-25,1,0,118,10,37,308.593,28,0,0,0,0
False,False,False,True,2016-01-26,1,1,225,26,28,308.593,24,0,1,2,1
False,False,False,True,2016-01-28,1,3,289,36,33,308.593,30,0,2,1,3
False,False,False,True,2016-02-05,2,4,184,42,27,302.585,21,0,0,0,1
True,False,False,False,2016-02-03,2,2,246,25,41,302.585,23,0,0,0,8
True,False,False,False,2016-02-10,2,2,179,51,38,302.585,31,0,0,0,8
False,False,False,True,2016-02-11,2,3,155,12,34,302.585,25,0,2,0,2
False,False,False,True,2016-02-11,2,3,189,29,33,302.585,25,0,2,2,8
False,False,False,True,2016-02-12,2,4,260,50,36,302.585,23,0,4,0,2
False,False,False,True,2016-02-12,2,4,289,36,33,302.585,30,0,2,1,8
True,False,False,False,2016-02-08,2,0,388,15,50,302.585,24,0,0,0,8
True,False,False,False,2016-02-09,2,1,388,15,50,302.585,24,0,0,0,8
False,False,False,True,2016-02-15,2,0,225,26,28,302.585,24,0,1,2,2
False,False,False,True,2016-02-09,2,1,225,26,28,302.585,24,0,1,2,2
False,False,False,True,2016-02-16,2,1,179,26,30,302.585,19,1,0,0,1
False,False,False,True,2016-02-23,2,1,184,42,27,302.585,21,0,0,0,8
False,False,False,True,2016-02-25,2,3,225,26,28,302.585,24,0,1,2,3
False,False,True,False,2016-02-15,2,0,330,16,28,302.585,25,1,0,0,8
False,False,False,True,2016-02-16,2,1,330,16,28,302.585,25,1,0,0,1
False,False,False,True,2016-02-17,2,2,225,26,28,302.585,24,0,1,2,1
False,False,True,False,2016-02-25,2,3,189,29,33,302.585,25,0,2,2,8
False,False,False,True,2016-03-01,3,1,291,50,32,343.253,23,0,0,0,2
False,False,True,False,2016-03-01,3,1,260,50,36,343.253,23,0,4,0,8
False,False,True,False,2016-03-08,3,1,157,27,29,343.253,22,0,0,0,3
False,True,False,False,2016-03-15,3,1,179,22,40,343.253,22,1,2,0,8
False,False,False,True,2016-03-16,3,2,291,31,40,343.253,25,0,1,1,8
True,False,False,False,2016-03-02,3,2,260,50,36,343.253,23,0,4,0,8
True,False,False,False,2016-03-03,3,3,179,26,30,343.253,19,1,0,0,8
True,False,False,False,2016-03-04,3,4,248,25,47,343.253,32,0,2,1,3
True,False,False,False,2016-03-04,3,4,260,50,36,343.253,23,0,4,0,40
True,False,False,False,2016-03-07,3,0,179,22,40,343.253,22,1,2,0,40
True,False,False,False,2016-03-14,3,0,155,12,34,343.253,25,0,2,0,16
False,False,False,True,2016-03-21,3,0,260,50,36,343.253,23,0,4,0,16
True,False,False,False,2016-03-22,3,1,155,12,34,343.253,25,0,2,0,8
True,False,False,False,2016-03-24,3,3,289,36,33,343.253,30,0,2,1,8
True,False,False,False,2016-03-24,3,3,179,22,40,343.253,22,1,2,0,8
False,False,False,True,2016-03-25,3,4,260,50,36,343.253,23,0,4,0,4
False,False,False,True,2016-03-25,3,4,225,26,28,343.253,24,0,1,2,1
True,False,False,False,2016-03-28,3,0,279,5,39,343.253,24,0,2,0,8
True,False,False,False,2016-03-29,3,1,179,51,38,343.253,31,0,0,0,24
False,False,False,True,2016-03-30,3,2,225,26,28,343.253,24,0,1,2,2
True,False,False,False,2016-03-28,3,0,225,26,28,343.253,24,0,1,2,8
True,False,False,False,2016-03-28,3,0,179,26,30,343.253,19,1,0,0,1
True,False,False,False,2016-03-29,3,1,225,26,28,343.253,24,0,1,2,8
True,False,False,False,2016-03-30,3,2,225,26,28,343.253,24,0,1,2,16
True,False,False,False,2016-03-30,3,2,179,51,38,343.253,31,0,0,0,3
True,False,False,False,2016-03-17,3,3,279,5,39,343.253,24,0,2,0,16
False,False,False,True,2016-03-18,3,4,225,26,28,343.253,24,0,1,2,2
True,False,False,False,2016-03-25,3,4,248,25,47,343.253,32,0,2,1,3
False,False,False,True,2016-03-28,3,0,225,26,28,343.253,24,0,1,2,1
False,False,False,True,2016-04-06,4,2,291,31,40,326.452,25,0,1,1,1
False,False,False,True,2016-04-13,4,2,225,26,28,326.452,24,0,1,2,1
False,False,False,True,2016-04-12,4,1,155,12,34,326.452,25,0,2,0,1
True,False,False,False,2016-04-13,4,2,246,25,41,326.452,23,0,0,0,24
False,False,False,True,2016-04-14,4,3,155,12,34,326.452,25,0,2,0,1
False,False,False,True,2016-04-15,4,4,225,26,28,326.452,24,0,1,2,2
False,False,False,True,2016-04-15,4,4,260,50,36,326.452,23,0,4,0,4
True,False,False,False,2016-04-06,4,2,179,51,38,326.452,31,0,0,0,24
False,False,False,True,2016-04-07,4,3,118,13,50,326.452,31,0,1,0,1
False,False,False,True,2016-04-08,4,4,291,31,40,326.452,25,0,1,1,3
True,False,False,False,2016-04-08,4,4,246,25,41,326.452,23,0,0,0,8
False,False,False,True,2016-04-22,4,4,291,31,40,326.452,25,0,1,1,1
False,False,False,True,2016-04-29,4,4,248,25,47,326.452,32,0,2,1,8
False,False,True,False,2016-04-29,4,4,260,50,36,326.452,23,0,4,0,56
False,False,True,False,2016-04-26,4,1,289,36,33,326.452,30,0,2,1,8
True,False,False,False,2016-04-27,4,2,155,12,34,326.452,25,0,2,0,24
False,False,True,False,2016-04-27,4,2,378,49,36,326.452,21,0,2,4,8
True,False,False,False,2016-04-28,4,3,289,36,33,326.452,30,0,2,1,16
True,False,False,False,2016-04-08,4,4,235,11,37,326.452,29,1,1,1,3
False,False,False,False,2016-04-04,4,0,235,29,48,326.452,33,0,1,5,0
True,False,False,False,2016-05-04,5,2,289,36,33,378.884,30,0,2,1,8
False,False,False,True,2016-05-05,5,3,155,12,34,378.884,25,0,2,0,2
False,False,False,True,2016-05-02,5,0,155,12,34,378.884,25,0,2,0,1
False,False,True,False,2016-05-03,5,1,179,51,38,378.884,31,0,0,0,8
False,False,True,False,2016-05-03,5,1,225,26,28,378.884,24,0,1,2,8
True,False,False,False,2016-05-11,5,2,184,42,27,378.884,21,0,0,0,4
False,False,False,True,2016-05-09,5,0,155,12,34,378.884,25,0,2,0,2
True,False,False,False,2016-05-10,5,1,179,51,38,378.884,31,0,0,0,1
True,False,False,False,2016-05-04,5,2,289,36,33,378.884,30,0,2,1,24
False,False,False,False,2016-05-11,5,2,279,5,39,378.884,24,0,2,0,0
False,False,False,False,2016-05-18,5,2,330,16,28,378.884,25,1,0,0,0
False,False,False,False,2016-05-25,5,2,378,49,36,378.884,21,0,2,4,0
False,False,False,False,2016-05-25,5,2,388,15,50,378.884,24,0,0,0,0
True,False,False,False,2016-05-24,5,1,179,51,38,378.884,31,0,0,0,1
True,False,False,False,2016-05-11,5,2,118,13,50,378.884,31,0,1,0,24
False,False,False,True,2016-05-27,5,4,361,52,28,378.884,27,0,1,4,8
False,False,True,False,2016-06-06,6,0,246,25,41,377.55,23,0,0,0,8
False,False,False,True,2016-06-13,6,0,361,52,28,377.55,27,0,1,4,8
True,False,False,False,2016-06-14,6,1,246,25,41,377.55,23,0,0,0,24
False,False,False,True,2016-06-16,6,3,291,31,40,377.55,25,0,1,1,4
True,False,False,False,2016-06-17,6,4,246,25,41,377.55,23,0,0,0,8
True,False,False,False,2016-06-13,6,0,179,51,38,377.55,31,0,0,0,8
False,False,False,True,2016-06-20,6,0,155,12,34,377.55,25,0,2,0,4
True,False,False,False,2016-06-27,6,0,246,25,41,377.55,23,0,0,0,8
True,False,False,False,2016-06-29,6,2,118,13,50,377.55,31,0,1,0,8
True,False,False,False,2016-06-03,6,4,235,11,37,377.55,29,1,1,1,16
False,False,False,True,2016-06-07,6,1,118,13,50,377.55,31,0,1,0,1
True,False,False,False,2016-06-08,6,2,118,13,50,377.55,31,0,1,0,80
False,False,False,True,2016-06-09,6,3,378,49,36,377.55,21,0,2,4,8
True,False,False,False,2016-06-10,6,4,179,51,38,377.55,31,0,0,0,2
False,False,False,True,2016-06-20,6,0,289,48,49,377.55,36,0,0,2,2
False,False,False,True,2016-06-30,6,3,225,26,28,377.55,24,0,1,2,2
False,False,True,False,2016-07-05,7,1,155,12,34,275.312,25,0,2,0,16
True,False,False,False,2016-07-06,7,2,118,13,50,275.312,31,0,1,0,8
True,False,False,False,2016-07-08,7,4,118,10,37,275.312,28,0,0,0,8
False,False,False,True,2016-07-08,7,4,118,10,37,275.312,28,0,0,0,4
False,False,False,True,2016-07-12,7,1,330,16,28,275.312,25,1,0,0,8
False,False,True,False,2016-07-14,7,3,179,26,30,275.312,19,1,0,0,8
False,False,False,True,2016-07-15,7,4,155,12,34,275.312,25,0,2,0,2
True,False,False,False,2016-07-18,7,0,330,16,28,275.312,25,1,0,0,8
True,False,False,False,2016-07-19,7,1,330,16,28,275.312,25,1,0,0,8
False,False,False,True,2016-07-18,7,0,157,27,29,275.312,22,0,0,0,3
False,False,False,True,2016-07-19,7,1,361,52,28,275.312,27,0,1,4,8
False,False,False,True,2016-07-20,7,2,289,36,33,275.312,30,0,2,1,8
False,False,False,True,2016-07-21,7,3,179,51,38,275.312,31,0,0,0,8
False,False,True,False,2016-07-11,7,0,289,36,33,275.312,30,0,2,1,32
False,False,True,False,2016-07-14,7,3,289,36,33,275.312,30,0,2,1,8
False,False,False,False,2016-07-21,7,3,260,50,36,275.312,23,0,4,0,0
False,False,True,False,2016-08-04,8,3,289,36,33,265.615,30,0,2,1,8
False,False,True,False,2016-08-11,8,3,157,27,29,265.615,22,0,0,0,3
False,False,False,True,2016-08-07,8,6,289,36,33,265.615,30,0,2,1,1
False,False,True,False,2016-08-08,8,0,228,14,58,265.615,22,0,2,1,8
True,False,False,False,2016-08-10,8,2,300,26,43,265.615,25,0,2,1,1
True,False,False,False,2016-08-10,8,2,300,26,43,265.615,25,0,2,1,2
False,False,False,True,2016-08-11,8,3,260,50,36,265.615,23,0,4,0,4
False,False,False,True,2016-08-08,8,0,289,36,33,265.615,30,0,2,1,4
False,False,False,True,2016-08-09,8,1,248,25,47,265.615,32,0,2,1,1
True,False,False,False,2016-08-10,8,2,268,11,33,265.615,25,1,0,0,8
False,False,False,True,2016-08-10,8,2,179,26,30,265.615,19,1,0,0,1
True,False,False,False,2016-08-10,8,2,118,13,50,265.615,31,0,1,0,3
False,False,False,True,2016-08-14,8,6,248,25,47,265.615,32,0,2,1,2
False,False,False,True,2016-08-15,8,0,235,11,37,265.615,29,1,1,1,1
False,False,False,True,2016-08-17,8,2,118,13,50,265.615,31,0,1,0,1
False,False,True,False,2016-08-24,8,2,235,11,37,265.615,29,1,1,1,8
True,False,False,False,2016-08-08,8,0,361,52,28,265.615,27,0,1,4,8
True,False,False,False,2016-08-30,8,1,184,42,27,265.615,21,0,0,0,8
True,False,False,False,2016-09-05,9,0,179,51,38,294.217,31,0,0,0,8
False,False,False,True,2016-09-09,9,4,179,51,38,294.217,31,0,0,0,3
False,False,True,False,2016-09-07,9,2,289,36,33,294.217,30,0,2,1,24
False,False,False,False,2016-09-08,9,3,235,20,43,294.217,38,0,1,0,0
True,False,False,False,2016-09-12,9,0,246,25,41,294.217,23,0,0,0,16
False,False,False,True,2016-09-13,9,1,291,31,40,294.217,25,0,1,1,3
False,False,False,False,2016-09-13,9,1,231,35,39,294.217,35,0,2,2,0
False,False,False,False,2016-09-13,9,1,291,50,32,294.217,23,0,0,0,0
True,False,False,False,2016-09-14,9,2,179,51,38,294.217,31,0,0,0,8
True,False,False,False,2016-09-14,9,2,246,25,41,294.217,23,0,0,0,32
False,False,False,True,2016-09-15,9,3,179,51,38,294.217,31,0,0,0,1
False,False,False,True,2016-09-16,9,4,291,31,40,294.217,25,0,1,1,4
False,False,False,True,2016-09-16,9,4,260,50,36,294.217,23,0,4,0,4
False,False,False,True,2016-09-14,9,2,235,20,43,294.217,38,0,1,0,8
False,False,False,True,2016-09-15,9,3,118,13,50,294.217,31,0,1,0,1
False,False,False,False,2016-09-15,9,3,235,20,43,294.217,38,0,1,0,0
False,False,False,True,2016-09-16,9,4,291,31,40,294.217,25,0,1,1,3
True,False,False,False,2016-09-26,9,0,291,31,40,294.217,25,0,1,1,40
True,False,False,False,2016-09-26,9,0,179,51,38,294.217,31,0,0,0,8
False,False,False,True,2016-10-05,10,2,289,36,33,265.017,30,0,2,1,8
False,False,False,True,2016-10-05,10,2,235,11,37,265.017,29,1,1,1,4
False,False,False,True,2016-10-05,10,2,289,36,33,265.017,30,0,2,1,8
False,False,False,True,2016-10-06,10,3,289,36,33,265.017,30,0,2,1,8
False,False,False,False,2016-10-06,10,3,118,13,50,265.017,31,0,1,0,0
False,False,False,False,2016-10-06,10,3,248,25,47,265.017,32,0,2,1,0
True,False,False,False,2016-10-12,10,2,179,26,30,265.017,19,1,0,0,8
True,False,False,False,2016-10-12,10,2,118,10,37,265.017,28,0,0,0,3
False,False,False,True,2016-10-12,10,2,369,17,31,265.017,25,0,3,0,8
False,False,False,True,2016-10-14,10,4,179,51,38,265.017,31,0,0,0,1
True,False,False,False,2016-10-14,10,4,179,26,30,265.017,19,1,0,0,64
False,False,False,False,2016-10-14,10,4,235,20,43,265.017,38,0,1,0,0
False,False,True,False,2016-10-15,10,5,289,36,33,265.017,30,0,2,1,16
False,False,False,True,2016-10-16,10,6,260,50,36,265.017,23,0,4,0,3
False,False,False,False,2016-10-16,10,6,235,20,43,265.017,38,0,1,0,0
False,False,False,True,2016-10-19,10,2,235,20,43,265.017,38,0,1,0,2
False,False,False,True,2016-10-19,10,2,235,20,43,265.017,38,0,1,0,2
False,False,False,True,2016-10-20,10,3,118,13,50,265.017,31,0,1,0,1
False,False,False,True,2016-10-20,10,3,291,31,40,265.017,25,0,1,1,4
False,False,False,True,2016-10-22,10,5,179,26,30,265.017,19,1,0,0,16
False,False,False,True,2016-10-22,10,5,118,13,50,265.017,31,0,1,0,1
True,False,False,False,2016-10-26,10,2,361,52,28,265.017,27,0,1,4,8
False,False,False,False,2016-10-27,10,3,260,50,36,265.017,23,0,4,0,0
False,False,False,False,2016-10-27,10,3,291,31,40,265.017,25,0,1,1,0
False,False,False,False,2016-10-27,10,3,157,27,29,265.017,22,0,0,0,0
True,False,False,False,2016-10-28,10,4,179,26,30,265.017,19,1,0,0,5
True,False,False,False,2016-10-28,10,4,179,26,30,265.017,19,1,0,0,5
False,False,False,True,2016-10-29,10,5,118,13,50,265.017,31,0,1,0,1
True,False,False,False,2016-11-07,11,0,118,10,37,284.031,28,0,0,0,8
False,False,False,True,2016-11-07,11,0,248,25,47,284.031,32,0,2,1,2
True,False,False,False,2016-11-08,11,1,179,51,38,284.031,31,0,0,0,8
False,False,False,True,2016-11-11,11,4,260,50,36,284.031,23,0,4,0,3
False,False,False,True,2016-11-14,11,0,291,31,40,284.031,25,0,1,1,1
True,False,False,False,2016-11-14,11,0,378,49,36,284.031,21,0,2,4,8
True,False,False,False,2016-11-14,11,0,155,12,34,284.031,25,0,2,0,120
False,False,False,True,2016-11-14,11,0,235,20,43,284.031,38,0,1,0,8
False,False,False,False,2016-11-15,11,1,330,16,28,284.031,25,1,0,0,0
False,False,True,False,2016-11-16,11,2,235,11,37,284.031,29,1,1,1,1
True,False,False,False,2016-11-16,11,2,118,10,37,284.031,28,0,0,0,3
False,False,False,True,2016-11-17,11,3,235,11,37,284.031,29,1,1,1,2
False,False,False,True,2016-11-17,11,3,179,51,38,284.031,31,0,0,0,3
True,False,False,False,2016-11-18,11,4,246,25,41,284.031,23,0,0,0,8
True,False,False,False,2016-11-18,11,4,291,31,40,284.031,25,0,1,1,4
True,False,False,False,2016-11-21,11,0,246,25,41,284.031,23,0,0,0,8
False,False,False,True,2016-11-22,11,1,179,51,38,284.031,31,0,0,0,1
True,False,False,False,2016-11-23,11,2,260,50,36,284.031,23,0,4,0,8
False,True,False,False,2016-11-25,11,4,260,50,36,284.031,23,0,4,0,8
False,False,False,False,2016-11-25,11,4,378,49,36,284.031,21,0,2,4,0
False,False,False,False,2016-11-29,11,1,279,5,39,284.031,24,0,2,0,0
False,False,False,True,2016-11-24,11,3,179,51,38,284.031,31,0,0,0,1
True,False,False,False,2016-12-05,12,0,225,26,28,236.629,24,0,1,2,3
False,False,False,True,2016-12-05,12,0,179,51,38,236.629,31,0,0,0,2
False,False,False,True,2016-12-05,12,0,179,51,38,236.629,31,0,0,0,1
False,False,False,True,2016-12-05,12,0,235,11,37,236.629,29,1,1,1,3
False,False,False,True,2016-12-06,12,1,118,13,50,236.629,31,0,1,0,1
False,False,False,True,2016-12-09,12,4,260,50,36,236.629,23,0,4,0,4
True,False,False,False,2016-12-15,12,3,246,25,41,236.629,23,0,0,0,8
False,False,False,True,2016-12-15,12,3,179,51,38,236.629,31,0,0,0,1
False,False,False,True,2016-12-16,12,4,179,51,38,236.629,31,0,0,0,1
False,False,False,True,2016-12-20,12,1,179,26,30,236.629,19,1,0,0,1
False,False,False,True,2016-12-20,12,1,118,10,37,236.629,28,0,0,0,8
False,False,False,True,2016-12-22,12,3,235,11,37,236.629,29,1,1,1,2
False,False,False,True,2016-12-23,12,4,179,51,38,236.629,31,0,0,0,1
True,False,False,False,2016-12-20,12,1,235,20,43,236.629,38,0,1,0,8
